,indicator,hockeyStick,quadratic,VaR_0.8,CVaR_0.8,VaR_0.9,CVaR_0.9,VaR_0.95,CVaR_0.95,VaR_0.99,CVaR_0.99,VaR_0.996,CVaR_0.996
0,0.0879,0.2301453254706295,156.6970017532273,5.342133279734689,9.076730807752877,8.610994492638149,11.38814908200636,11.064022111624034,12.972698342934752,14.576493760064459,15.537294423297125,15.625717366128043,16.198274244793097
1,0.1063,0.25118284762545157,156.95090610961316,5.861975436116168,9.553069909387572,9.35365860362083,11.621986172400268,11.465174125564836,12.938428240652184,14.105346756008068,14.898013825361211,15.002224067915101,15.369547543839051
2,0.1093,0.2841480011562785,163.2660549214943,6.034099474673013,9.814186540215834,9.525311585062823,11.94065412737164,11.391067887255439,13.437102173473958,15.051364961548721,16.126301576184577,16.279238342962962,16.851774599722017
3,0.1018,0.2782652469427004,159.3721031692207,6.152335790533087,9.78206966155538,9.189146516680985,11.899947334242288,11.514958100734148,13.70419027825153,15.360043573159711,16.44053615452539,16.498826626986766,17.081424229606757
4,0.0905,0.24301776494039037,154.26387585749646,6.110590570501998,9.465176606678162,8.783228285534065,11.532294319986962,10.938022782437173,13.187764038241502,14.711909231576527,15.733050529609233,15.90775722540699,16.48776047366666
5,0.0917,0.2737254056888899,157.29827667696756,5.797361758852404,9.593517605138555,8.799058250507997,11.840280090469532,11.155340076156762,13.876500010704989,15.574366436600958,16.805711326714114,17.003291085222326,17.836397899199692
6,0.0908,0.26370904358563724,157.78357225342512,5.843706727041983,9.5458525358778,8.77535072956104,11.739043067724484,11.46771732027615,13.460702296111,14.816925806373746,16.222937246599027,16.530363572954833,17.252318731739244
7,0.0961,0.271384195617798,152.42468411683788,6.008177910729827,9.572345936726878,8.949298681135978,11.82839967021899,11.558227791531337,13.487510644372616,14.869227951930235,16.039017164142205,16.13298887853115,16.886702935715434
8,0.0963,0.2575494264382884,155.26906837505823,6.160700759278093,9.631367035256824,9.003495087320829,11.690978315528957,10.960171818904215,13.437696007896884,15.567990677924097,16.392607398370693,16.513497400634137,16.894392763879004
9,0.1001,0.2477542969960923,155.9996156344909,5.491437837194539,9.425128799802708,9.132040403960993,11.595548852341505,10.98524772690969,13.113307449443763,14.665050874430264,15.617171734807368,15.756356382520188,16.11587843645942
10,0.0959,0.2926304841569791,157.42997865965205,6.067575494264773,9.683688241829673,8.937576446108181,12.039428203401837,11.616180488075763,13.84576828119445,15.224827779922123,16.03394726101925,16.212296929447323,16.515833496283033
11,0.0934,0.22541098680292143,157.94925109970745,5.949198829589008,9.379993821630753,8.906979809858058,11.365042153078354,10.877766567803839,12.856864080442145,14.23618600665396,15.603326461258547,15.86829871526879,16.49364029351384
12,0.0837,0.2443326251394044,154.88560539543766,5.512172893759747,9.183721919362913,8.409008048396615,11.503307414975836,11.126184640320965,13.387649515920618,14.752414812398435,15.970680187806375,16.166419303306235,16.806824055963663
13,0.1135,0.23929561936446872,156.0028452260053,5.708705986688273,9.552603402276636,9.373184844393528,11.49452736462147,10.975398715491202,12.944119786076156,14.11444648521497,14.781317190692148,14.793036434986846,15.362244170687685
14,0.0921,0.26648205576985,162.10929332116854,5.81222513436559,9.374030218715589,8.752277952900407,11.77007620527519,10.90579607504754,13.751511144883583,16.043003746532904,17.367620528660066,17.596993851231485,18.306051241925733
15,0.1026,0.2796948557763697,164.0353849031958,5.916272541960616,9.69181706414619,9.189808543712054,11.913762314669464,11.543717797409492,13.548758190936002,15.144395582731129,16.189112907640318,16.32547814138189,16.889819468268083
16,0.0953,0.24561259167601374,153.56543039840423,6.1056963015425865,9.51495356254222,8.97169792088814,11.570486375368747,11.251046018426372,13.174196249110812,14.4729869946622,15.361172621210283,15.482282238182933,16.010679132244498
17,0.0868,0.2637463057722815,161.7275559552302,6.138641543009783,9.48023158460072,8.542059367863608,11.716497954320946,11.34063960053583,13.586333163086849,14.790085284952646,15.84963719483837,15.867586886253207,16.83314206800856
18,0.0946,0.22815891237901656,153.1344504029117,6.098814577414132,9.465248639196702,8.967607401421567,11.396117395479894,10.87909999306222,13.007979676943325,14.378954801310826,15.073278408264688,15.130100276465654,15.587463275815628
19,0.0869,0.22987352111260276,158.48909557996026,6.691885037908875,9.523505995500123,8.756718836493704,11.38775697760284,10.766028249733125,13.144948896919388,14.754983616859356,15.50801889141191,15.492862816520901,16.08689775002125
20,0.0952,0.28303822056622796,159.37384912714714,5.529182107509747,9.475187291690636,8.779092528292495,11.939717505053338,11.28269392813553,13.766890776419915,15.592244196506769,16.574314607464824,16.754101065258364,17.336593553454197
21,0.0929,0.2675457282802554,157.614134815376,6.02849760852915,9.494915839035134,8.796359232512842,11.780939167504807,11.661324794053911,13.42577076309945,14.258907969037715,15.218434600003816,15.489197468978325,16.02171315863238
22,0.1092,0.33313512733432243,158.16965232143846,5.5847528645632565,9.85815309996711,9.601619823475914,12.426992108265408,12.192535927968123,14.194855617024063,15.46439849581217,16.33415899032614,16.4559098409459,16.911857848089962
23,0.0992,0.2576208551478184,157.16349488349863,6.211887449131353,9.584327913903438,9.08360087306042,11.693941938663658,11.448371168137477,13.134832001153988,14.212332317324709,14.78687473985733,14.819216616278652,15.240345064505904
24,0.1056,0.28129084180764946,153.72775167631707,6.04402216203453,9.74215386186106,9.306788112165698,11.9250713047754,11.228465990897341,13.727254721220177,15.583689907777593,16.245446622796795,16.353990819746052,16.77905460218822
25,0.1002,0.2741345650815208,161.35092160492604,5.62482659213471,9.660336884418857,9.128413889935644,11.85908764128879,11.53611586390386,13.435045807491168,14.904239725814321,15.630059105514217,15.658388507728297,16.179989731827483
26,0.0954,0.20457392937827873,166.2640556005111,6.010870551414577,9.223151571265673,8.966792254751844,11.160404258848814,10.859824196790065,12.46747390355626,13.237889782076756,14.52817454320114,14.997653564498606,15.463660507481103
27,0.0986,0.2512377947978803,157.6080672726369,5.971341253491694,9.490310038286905,9.064670486560587,11.62996776829929,11.003049659842567,13.315048793171698,14.942853697398775,15.697948789741018,15.790069668194661,16.19923276200104
28,0.1038,0.25470603710269035,159.2847322824179,5.926816148185047,9.622398831388827,9.224214153582437,11.66327480681704,11.213985183781432,13.230111547611827,14.634512578233512,15.62874850891139,15.898521433697766,16.27257310962743
29,0.0944,0.23288883371521857,153.49941967636295,5.745252620467113,9.276578881395695,8.951456951490513,11.442220260174164,10.954000899736833,12.917701394532857,14.64529642512776,15.670334179890757,15.800317645892427,16.372411042101824
30,0.1042,0.2599726150293501,156.59816849296524,6.319244723970769,9.624688860713032,9.307742643713688,11.713411809534998,11.277602302443093,13.197565173343696,14.576265146047533,15.517641344865917,15.63155515001408,16.13264189018556
31,0.0918,0.2556041142067323,157.72672576121192,6.3529697785754,9.544091715974085,8.818731839499321,11.661142826542742,11.451328130319688,13.327421085510041,14.612879008290221,15.510204370933598,15.563382072430517,16.16852599497096
32,0.0869,0.2313006930152074,162.50354084535923,5.756063204978069,9.175717614312243,8.581932841830202,11.392286989253066,11.172126202573942,13.009503904694824,14.292508376050819,15.434910500582527,15.468862378483365,16.35170760478702
33,0.0971,0.297413938452588,151.71109394024953,6.0602926075272165,9.744054966745727,9.008676427992903,12.089947604569465,11.548846371799918,14.021057536319633,15.68536939126395,16.472068934761307,16.433107910120167,17.15504953196556
34,0.0976,0.29807035084909556,155.92485719103752,6.015625424348933,9.77181473603748,9.034243065736263,12.097024573811606,12.354718263799313,13.592643199159415,14.252451567024366,14.994567695197935,15.13300468290533,15.517109674782498
35,0.0807,0.18418748832356927,153.1681389060279,6.040480870241964,9.160836664595903,8.562107511050613,10.905582688827657,10.522997893599552,12.423399399034919,13.80618993369805,14.713494594867633,14.723210883682903,15.310997914424133
