,indicator,hockeyStick,quadratic,VaR_0.8,CVaR_0.8,VaR_0.9,CVaR_0.9,VaR_0.95,CVaR_0.95,VaR_0.99,CVaR_0.99,VaR_0.996,CVaR_0.996
0,0.0736,0.6169388005691545,2059.5445871688707,19.16546537102664,31.660214238695986,29.73153972331363,39.18341669063113,37.71203632672143,44.978145531114876,49.80196340500285,54.32202465444799,54.723908179897734,57.6969164515272
1,0.0802,0.6275236034168439,2001.9622693820315,19.804236860886675,32.38702717396139,31.05583306523522,39.59051944866406,38.46024848695731,44.728986601825774,48.472968754846676,51.96976590353143,52.01514766726879,54.89472354112513
2,0.0772,0.7319221967137328,1994.814048094948,19.15552360922331,32.305848488192666,29.86972796982198,40.46096955954742,38.32810464995171,46.911884296629054,52.08489197152875,57.18597863061645,58.05356004721301,61.07801923199039
3,0.0832,0.6941750977104407,2021.9210909538344,20.33932243576126,32.89695443262167,31.263627325161167,40.304632761167554,38.902126248163654,45.784456943972145,49.94502799365907,54.43733740060866,55.27626194538942,58.209653529139835
4,0.0891,0.9339792417265462,2177.6627535828775,20.610737464663487,34.428462480160256,32.00717184753654,42.81701276203565,40.93515088811395,49.521733509934194,55.262926792526315,59.31203915137139,59.43506774858767,62.371860232626645
5,0.0832,0.8987488382829489,2039.1340496077091,19.6066037811608,33.63208018848739,31.032983809126733,42.346775529644425,41.11785455469345,49.183839625831666,55.16833084309184,58.981136607067036,58.903366411467005,61.91554063504327
6,0.0785,0.6902588571248507,2063.949658420379,18.936622561963475,32.184460957371634,30.163155442156608,40.074146960475126,38.945721382772604,45.95432583458807,50.480417310150074,54.70958478976715,54.99684663917549,57.78047436882393
7,0.0739,0.7014032272327292,2071.2400738690108,19.624423298479883,32.22010206070736,29.59779597328756,40.039439971635176,38.009633988762545,46.57606744731187,53.420583077705714,57.821446785984065,57.76737681794327,61.707565824927194
8,0.07,0.6182986116575463,2057.035999093335,19.006695171906927,31.394968991221287,29.225194899486922,39.07688925813138,37.23494921139917,45.20506964368626,50.23481260091768,54.64376308733606,54.63392528613929,58.36901622058086
9,0.0736,0.6159892833766889,2015.3900515555865,19.698580929252728,31.84923689455019,29.84832965000183,39.218757513599954,37.86717424752118,44.86162751226219,49.28076343745866,53.40025350461197,53.87332007785699,56.61263957687052
10,0.0718,0.5687522129717403,2002.4011225818258,18.866848926113647,31.078599562075667,29.157358470585763,38.60055775251434,37.64291283287693,44.07765961229201,48.01180305260067,51.58331569798941,51.67183070077192,54.323258478492434
11,0.0784,0.735575167703956,1997.4344069049646,19.4189551038468,32.516682983349654,30.329091855637046,40.54478937429065,38.77159751680338,46.86687808108471,51.767743572770485,56.23865058416037,57.13381386187544,59.25991509122019
12,0.0826,0.7232896508445832,2110.5638718296423,18.794308486124663,32.588013653489746,31.11427622953383,40.56017644938734,39.291268947759136,46.206564794054806,50.73491244407364,54.68562729443907,54.80251120679961,58.04017461986553
13,0.0672,0.5604222410606634,2010.4543380299176,19.285043536720963,31.221368295135644,29.164873921154197,38.398041963085106,36.7580001979635,44.220650564144066,49.564854171621846,53.649375167106065,53.67545622247482,57.128015145099965
14,0.0708,0.6000128244191641,2090.67144595153,19.289060974676744,31.505814763415216,29.532077665306588,38.92530451963549,37.12248587176492,44.825062400299004,49.89345434401952,54.62402790058831,54.76585921683622,57.99502881822438
15,0.0692,0.6177084062894913,1969.3832464070983,19.759221166093397,31.62549126363887,29.464310335689703,39.08687965831138,36.455620003981124,45.382839524461694,51.00643121494514,56.89887040272953,57.196502419216046,61.11870647281453
16,0.0778,0.6620197714905361,2023.9274130878434,19.694736778747853,32.29306597964144,30.531000833341295,39.84408943480136,38.28491678941239,45.48641993137949,50.00443905843915,53.92488307401789,54.08695416189164,57.08859797036514
17,0.0734,0.6279694928658298,1997.5607357254737,19.07398152697988,31.67653566010799,29.778592236409736,39.32615989676049,37.60871148093668,45.2119473773918,50.00795255988726,54.25264775917589,54.623300659493424,57.719770327620964
18,0.0748,0.6693376913374451,2066.3014243706925,19.718052326631238,32.18738183106771,29.93514380562098,39.810786714981575,38.06355937280185,45.86031945544348,50.558389771986526,55.60024482500389,55.79499109185622,59.44291163654782
19,0.0725,0.7227693734254367,2115.0020816381398,19.215486096811247,32.019407612384605,29.42865488300788,40.17480151698519,38.25965616932231,47.03266515308178,53.37536549465952,57.864176510719844,57.83457839323586,61.18185361053976
20,0.0784,0.8032479464705926,1957.4984337733667,20.112216948436043,32.856323979310496,29.950595351948152,41.20093918365683,39.87975321775403,47.88006926887167,53.00541721379119,57.626011051837246,57.888436577292,61.16043758342687
21,0.0792,0.7330731369616384,2086.0480501725883,19.971287572338838,32.63434880445522,30.442676042143233,40.566000871060844,38.377616522644644,46.855765839605844,52.06652185281226,57.39517677227283,56.94885129004797,61.921033634384145
