,Optimal k
798,70
799,91
800,91
801,135
802,156
803,113
804,91
805,113
806,91
807,135
808,113
809,113
810,91
811,91
812,113
813,113
814,113
815,135
816,113
817,156
818,113
819,70
820,113
821,70
822,91
823,113
824,91
825,113
826,91
827,113
828,135
829,91
830,113
831,70
832,113
833,70
834,113
835,113
836,135
837,135
838,113
839,156
840,113
841,156
842,113
843,91
844,113
845,91
846,113
847,135
848,156
849,113
850,113
851,70
852,135
853,156
854,135
855,135
856,113
857,156
858,113
859,113
860,135
861,91
862,70
863,113
864,91
865,156
866,113
867,178
868,156
869,156
870,91
871,113
872,113
873,113
874,135
875,91
876,135
877,91
878,135
879,113
880,135
881,91
882,135
883,113
884,91
885,113
886,91
887,91
888,113
889,91
890,113
891,135
892,91
893,113
894,113
895,91
896,135
897,70
898,70
899,135
900,135
901,135
902,156
903,113
904,113
905,135
906,113
907,113
908,113
909,135
910,156
911,135
912,70
913,91
914,113
915,91
916,156
917,91
918,70
919,113
920,135
921,135
922,113
923,135
924,135
925,113
926,91
927,91
928,91
929,135
930,70
931,113
932,113
933,91
934,135
935,113
936,113
937,91
938,91
939,113
940,113
941,135
942,113
943,113
944,135
945,113
946,113
947,113
948,200
949,70
950,91
951,70
952,156
953,135
954,113
955,91
956,70
957,113
958,156
959,135
960,113
961,113
962,70
963,91
964,113
965,91
966,156
967,113
968,91
969,135
970,113
971,113
972,91
973,135
974,135
975,113
976,91
977,113
978,70
979,135
980,91
981,135
982,113
983,70
984,91
985,178
986,113
987,113
988,91
989,135
990,91
991,156
992,113
993,113
994,113
995,156
996,156
997,91
998,135
999,91
