,Optimal k
0,113
1,91
2,135
3,113
4,113
5,156
6,156
7,156
8,70
9,113
10,113
11,156
12,113
13,91
14,91
15,113
16,91
17,135
18,91
19,135
20,135
21,91
22,91
23,91
24,113
25,113
26,91
27,113
28,113
29,91
30,113
31,91
32,135
33,135
34,91
35,91
36,135
37,91
38,91
39,70
40,156
41,156
42,135
43,135
44,91
45,113
46,113
47,113
48,135
49,135
50,113
51,135
52,156
53,135
54,113
55,135
56,91
57,91
58,91
59,178
60,135
61,113
62,156
63,91
64,113
65,91
66,135
67,200
68,135
69,113
70,113
71,91
72,135
73,156
74,91
75,135
76,91
77,113
78,113
79,113
80,156
81,70
82,91
83,91
84,135
85,113
86,113
87,113
88,113
89,135
90,135
91,113
92,178
93,91
94,113
95,113
96,113
97,135
98,113
99,113
100,156
101,91
102,91
103,135
104,156
105,135
106,135
107,91
108,113
109,91
110,113
111,135
112,156
113,135
114,91
115,135
116,91
117,91
118,91
119,156
120,91
121,91
122,156
123,135
124,135
125,70
126,178
127,70
128,135
129,156
130,135
131,91
132,91
133,135
134,135
135,113
136,70
137,113
138,113
139,70
140,70
141,91
142,156
143,70
144,135
145,135
146,135
147,135
148,113
149,70
150,91
151,113
152,91
153,91
154,91
155,70
156,178
157,70
158,91
159,70
160,70
161,91
162,113
163,91
164,91
165,91
166,91
167,113
168,135
169,113
170,135
171,113
172,91
173,135
174,113
175,135
176,113
177,91
178,135
179,91
180,91
181,113
182,91
183,135
184,113
185,135
186,135
187,91
188,135
189,91
190,135
191,113
192,113
193,135
194,91
195,91
196,135
197,178
198,113
199,113
200,113
201,156
202,70
203,113
204,113
205,113
206,135
207,113
208,113
209,135
210,135
211,91
212,113
213,113
214,178
215,135
216,113
217,113
218,135
219,135
220,91
221,91
222,135
223,135
224,113
225,156
226,91
227,91
228,113
229,135
230,113
231,70
232,113
233,135
234,156
235,113
236,91
237,91
238,113
239,113
240,113
241,113
242,91
243,91
244,113
245,113
246,135
247,113
248,113
249,156
250,135
251,113
252,135
253,113
254,113
255,91
256,113
257,91
258,70
259,91
260,156
261,91
262,91
263,91
264,113
265,91
266,135
267,70
268,156
269,135
270,135
271,91
272,113
273,113
274,113
275,156
276,135
277,135
278,113
279,113
280,70
281,113
282,113
283,135
284,156
285,156
286,113
287,135
288,156
289,91
290,91
291,91
292,113
293,135
294,135
295,91
296,91
297,113
298,156
299,135
300,135
301,135
302,113
303,135
304,91
305,135
306,135
307,135
308,113
309,135
310,156
311,113
312,113
313,70
314,156
315,91
316,156
317,135
318,156
319,91
320,70
321,91
322,135
323,91
324,135
325,113
326,91
327,156
328,91
329,135
330,113
331,113
332,91
333,135
334,113
335,91
336,113
337,91
338,178
339,135
340,156
341,91
342,113
343,113
344,70
345,135
346,91
347,135
348,70
349,113
350,91
351,135
352,135
353,135
354,91
355,156
356,113
357,113
358,135
359,113
360,113
361,135
362,156
363,135
364,91
365,113
366,135
367,135
368,91
369,156
370,91
371,135
372,113
373,135
374,91
375,91
376,91
377,91
378,113
379,70
380,135
381,135
382,156
383,156
384,113
385,113
386,135
387,135
388,113
389,135
390,135
391,91
392,113
393,135
394,113
395,156
396,156
397,135
398,113
399,91
400,91
401,135
402,91
403,113
404,113
405,113
406,156
407,113
408,91
409,91
410,113
411,135
412,156
413,91
414,156
415,70
416,91
417,156
418,70
419,113
420,135
421,91
422,156
423,135
424,113
425,113
426,91
427,91
428,135
429,91
430,113
431,113
432,156
433,113
434,113
435,91
436,91
437,91
438,113
439,156
440,91
441,135
442,91
443,113
444,178
445,91
446,156
447,91
448,135
449,113
450,113
451,91
452,91
453,135
454,113
455,91
456,135
457,91
458,113
459,113
460,91
461,113
462,156
463,156
464,91
465,113
466,135
467,135
468,70
469,135
470,178
471,70
472,178
473,113
474,135
475,91
476,113
477,113
478,91
479,91
480,156
481,113
482,113
483,135
484,113
485,135
486,91
487,135
488,156
489,135
490,113
491,113
492,135
493,135
494,156
495,135
496,91
497,70
498,113
499,91
500,113
501,135
502,135
503,113
504,156
505,135
506,91
507,91
508,113
509,113
510,135
511,113
512,135
513,113
514,113
515,91
516,135
517,91
518,135
519,70
520,91
521,113
522,91
523,91
524,113
525,113
526,135
527,135
528,156
529,156
530,113
531,91
532,113
533,113
534,91
535,135
536,135
537,113
538,113
539,91
540,135
541,91
542,135
543,91
544,113
545,91
546,156
547,70
548,135
549,113
550,135
551,113
