,Optimal k
552,135
553,135
554,91
555,135
556,91
557,156
558,113
559,135
560,135
561,156
562,113
563,91
564,113
565,156
566,113
567,70
568,91
569,156
570,135
571,113
572,113
573,91
574,135
575,91
576,135
577,113
578,156
579,135
580,156
581,135
582,113
583,91
584,135
585,70
586,135
587,91
588,113
589,91
590,156
591,135
592,135
593,135
594,91
595,156
596,91
597,135
598,135
599,156
600,156
601,113
602,156
603,70
604,91
605,156
606,178
607,113
608,91
609,113
610,70
611,178
612,70
613,135
614,91
615,91
616,113
617,91
618,91
619,113
620,113
621,91
622,113
623,70
624,91
625,91
626,113
627,135
628,70
629,113
630,135
631,113
632,113
633,91
634,91
635,135
636,135
637,113
638,91
639,91
640,135
641,135
642,70
643,91
644,135
645,91
646,113
647,70
648,113
649,113
650,135
651,135
652,70
653,113
654,70
655,135
656,135
657,113
658,135
659,135
660,113
661,113
662,91
663,113
664,113
665,113
666,91
667,70
668,135
669,135
670,135
671,135
672,113
673,91
674,135
675,91
676,135
677,70
678,91
679,91
680,70
681,135
682,113
683,113
684,135
685,113
686,70
687,91
688,113
689,135
690,113
691,113
692,113
693,113
694,135
695,113
696,91
697,113
698,113
699,91
700,135
701,156
702,113
703,113
704,91
705,70
706,70
707,91
708,113
709,135
710,91
711,91
712,70
713,135
714,113
715,70
716,178
717,135
718,91
719,113
720,113
721,113
722,135
723,156
724,156
725,113
726,113
727,113
728,113
729,135
730,113
731,135
732,91
733,91
734,135
735,135
736,113
737,135
738,113
739,135
740,91
741,70
742,156
743,156
744,91
745,91
746,113
747,91
748,135
749,91
750,113
751,91
752,113
753,135
754,178
755,135
756,91
757,135
758,135
759,113
760,113
761,70
762,135
763,113
764,91
765,135
766,113
767,156
768,113
769,91
770,135
771,91
772,91
773,70
774,135
775,113
776,91
777,156
778,135
779,135
780,135
781,70
782,200
783,91
784,91
785,135
786,113
787,91
788,91
789,113
790,156
791,135
792,91
793,135
794,91
795,135
796,135
797,135
798,113
799,135
800,135
801,91
802,156
803,70
804,113
805,113
806,91
807,91
808,91
809,135
810,156
811,70
812,135
813,135
814,135
815,113
816,156
817,135
818,91
819,113
820,91
821,156
822,91
823,113
824,70
825,135
826,135
827,113
828,113
829,70
830,113
831,113
832,135
833,156
834,113
835,156
836,113
837,113
838,113
839,113
840,113
841,91
842,156
843,91
844,91
845,91
846,178
847,113
848,113
849,113
850,113
851,156
852,135
853,135
854,113
855,135
856,135
857,113
858,178
859,113
860,135
861,70
862,113
863,135
864,70
865,113
866,113
867,70
868,113
869,113
870,113
871,156
872,135
873,135
874,135
875,178
876,113
877,156
878,156
879,113
880,113
881,156
882,135
883,91
884,135
885,91
886,91
887,91
888,91
889,113
890,156
891,156
892,91
893,113
894,70
895,135
896,91
897,91
898,113
899,135
900,113
901,91
902,91
903,135
904,178
905,113
906,113
907,156
908,135
909,113
910,113
911,70
912,91
913,156
914,91
915,135
916,135
917,91
918,113
919,113
920,113
921,135
922,135
923,91
924,113
925,156
926,91
927,91
928,113
929,113
930,91
931,113
932,156
933,113
934,135
935,113
936,113
937,135
938,156
939,135
940,91
941,113
942,113
943,91
944,113
945,156
946,135
947,113
948,91
949,113
950,113
951,135
952,135
953,70
954,113
955,70
956,113
957,91
958,91
959,91
960,91
961,156
962,91
963,113
964,178
965,135
966,135
967,91
968,135
969,113
970,91
971,156
972,113
973,113
974,113
975,113
976,135
977,135
978,48
979,91
980,156
981,91
982,113
983,156
984,135
985,156
986,113
987,113
988,113
989,91
990,113
991,91
992,91
993,135
994,113
995,113
996,91
997,91
998,91
999,91
